LGA,Year,Solar_Installation
Wattle Range,2016,1
Wattle Range,2017,0
Wattle Range,2018,0
Wattle Range,2019,0
Wattle Range,2020,0
Wattle Range,2021,0
Wattle Range,2022,0
West Torrens,2014,5
West Torrens,2015,5
West Torrens,2016,4
West Torrens,2017,2
West Torrens,2018,1
West Torrens,2019,1
West Torrens,2020,2
West Torrens,2021,1
West Torrens,2022,1
Yankalilla,2014,16
Yankalilla,2015,17
Yankalilla,2016,17
Yankalilla,2017,16
Yankalilla,2018,20
Yankalilla,2019,6
Yankalilla,2020,10
Yankalilla,2021,15
Yankalilla,2022,9
Yorke Peninsula,2014,16
Yorke Peninsula,2015,27
Yorke Peninsula,2016,11
Yorke Peninsula,2017,6
Yorke Peninsula,2018,5
Yorke Peninsula,2019,4
Yorke Peninsula,2020,2
Yorke Peninsula,2021,6
Yorke Peninsula,2022,3
